City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Wind Speed (mph),Cloudiness
Iquitos,PE,-3.75,-73.25,73.44,97,2.44,100
Lavrentiya,RU,65.58,-171.0,36.77,89,2.42,100
Pozo Colorado,PY,-23.49,-58.8,77.04,59,5.39,20
Dingle,PH,11.0,122.67,86.52,73,8.48,57
Yatou,CN,37.15,122.38,67.68,29,5.5,0
Touros,BR,-5.2,-35.46,73.4,83,3.36,20
Wanning,CN,18.8,110.4,79.21,85,20.96,99
Belaya Gora,RU,68.53,146.42,23.76,97,12.35,97
George Town,MY,5.41,100.34,86.0,78,3.36,20
Takoradze,GH,4.88,-1.76,76.53,90,6.15,92
Kafue,ZM,-15.77,28.18,64.17,49,5.01,0
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,46.4,70,4.47,40
Pochutla,MX,15.74,-96.47,78.01,89,3.58,33
Constitución,CL,-35.33,-72.42,50.58,76,7.43,0
Punta de Piedra,VE,7.62,-71.49,72.1,93,3.13,92
Diu,IN,20.71,70.98,83.41,81,15.17,37
Olafsvik,IS,64.89,-23.71,45.3,83,25.61,100
Airai,TL,-8.93,125.41,82.38,37,3.15,65
Bethel,US,41.37,-73.41,42.01,93,1.03,1
Cape Town,ZA,-33.93,18.42,55.99,93,2.24,40
Birjand,IR,32.87,59.22,37.4,16,9.17,0
Praia,CV,14.92,-23.51,77.0,88,5.82,20
Agadez,NE,19.75,10.25,73.4,20,1.43,0
Paamiut,GL,61.99,-49.67,39.83,86,10.16,80
Harper,LR,4.38,-7.72,76.19,90,5.5,58
Mont-Dore,NC,-22.28,166.58,80.6,47,13.87,20
São João da Barra,BR,-21.64,-41.05,69.57,84,7.96,37
Saint Anthony,US,45.02,-93.22,39.99,64,10.29,40
Tālbahat,IN,25.05,78.43,87.37,51,5.32,0
Nome,US,64.5,-165.41,35.6,93,23.04,90
Antalaha,MG,-14.9,50.28,73.53,81,7.47,12
East London,ZA,-33.02,27.91,64.42,82,13.85,97
Sioux Lookout,CA,50.1,-91.92,30.2,68,4.7,90
Chui,UY,-33.7,-53.46,59.25,90,5.97,67
Atambua,ID,-9.11,124.89,89.06,45,4.27,49
Longyearbyen,SJ,78.22,15.64,26.6,73,8.05,75
Yazman,PK,29.12,71.74,88.39,12,6.8,0
Saskylakh,RU,71.92,114.08,16.48,96,4.29,99
Khani,GE,41.96,42.96,48.2,93,2.24,0
Nouadhibou,MR,20.93,-17.03,75.2,64,16.11,0
Loukhi,RU,66.08,33.04,36.1,97,10.71,100
Pangnirtung,CA,66.15,-65.71,26.56,91,6.31,99
Alice Springs,AU,-23.7,133.88,82.4,42,11.41,27
Guerrero Negro,MX,27.98,-114.06,72.43,74,10.13,21
Abu Kamal,SY,34.45,40.92,64.58,35,2.62,0
Dunedin,NZ,-45.87,170.5,48.99,76,17.0,83
Iaciara,BR,-14.1,-46.63,78.89,58,8.28,59
Geraldton,AU,-28.77,114.6,80.6,32,14.99,0
Djibouti,DJ,11.5,42.5,80.6,83,7.94,1
Nioro,GM,13.35,-15.75,77.2,89,4.94,0
Bambous Virieux,MU,-20.34,57.76,77.0,83,2.24,75
Sibiti,CG,-3.68,13.35,69.98,98,3.13,100
São Filipe,CV,14.9,-24.5,79.43,82,0.11,38
Najrān,SA,17.49,44.13,59.0,27,2.3,0
Lakes Entrance,AU,-37.88,147.98,61.0,56,4.0,15
Port Elizabeth,ZA,-33.92,25.57,60.8,87,17.22,75
Camacha,PT,33.08,-16.33,69.8,68,18.34,40
Norsup,VU,-16.07,167.38,82.4,69,6.93,40
Puerto del Rosario,ES,28.5,-13.86,68.0,72,1.12,75
Rigaud,CA,45.48,-74.3,44.01,89,5.3,0
Katsuura,JP,35.13,140.3,68.0,63,10.29,75
Acaraú,BR,-2.89,-40.12,78.44,81,13.65,96
Turbat,PK,26.0,63.04,83.23,12,29.95,8
Fairbanks,US,64.84,-147.72,24.01,53,3.42,40
San Luis de Gaceno,CO,4.82,-73.17,72.45,72,3.62,100
Revadanda,IN,18.55,72.93,80.6,88,5.82,75
Bismarck,US,46.81,-100.78,26.01,79,14.99,90
Yulara,AU,-25.24,130.99,86.0,30,13.87,89
Zhicheng,CN,30.3,111.5,62.01,60,5.21,100
Thompson,CA,55.74,-97.86,28.4,100,3.36,90
Saint-Philippe,RE,-21.36,55.77,75.0,56,5.82,31
Codrington,AU,-38.27,141.97,55.89,68,9.01,70
Walvis Bay,NA,-22.96,14.51,57.0,93,5.82,2
Ugoofaaru,MV,5.67,73.0,82.62,76,13.67,84
Barbacena,BR,-21.23,-43.77,55.45,91,11.59,100
Ubari,LY,26.59,12.78,71.83,22,2.77,0
Juneau,US,58.3,-134.42,36.0,59,6.6,75
Rassvet,RU,46.83,40.75,57.11,63,5.21,76
Röszke,HU,46.19,20.03,43.0,99,1.01,65
Kaputa,ZM,-8.47,29.66,73.49,54,3.89,2
Mount Isa,AU,-20.73,139.5,96.8,19,9.17,25
Hirara,JP,24.8,125.28,84.2,74,18.34,75
Nanortalik,GL,60.14,-45.24,39.83,82,5.48,74
Iralaya,HN,15.0,-83.23,80.19,85,8.55,85
Fantino,DO,19.12,-70.3,77.0,88,5.82,75
Valparaíso,CL,-33.04,-71.63,51.8,100,3.36,90
Fenoarivo,MG,-18.93,47.44,60.8,87,6.93,75
Faanui,PF,-16.48,-151.75,80.24,73,4.03,61
Sangmélima,CM,2.93,11.98,66.6,99,2.06,100
Nuquí,CO,5.71,-77.27,77.7,86,4.29,100
Skellefteå,SE,64.75,20.95,33.8,86,10.29,100
High Level,CA,58.52,-117.14,23.0,67,4.7,90
Hobyo,SO,5.35,48.53,79.9,76,14.43,11
Cidreira,BR,-30.18,-50.21,66.83,79,21.85,89
Namatanai,PG,-3.67,152.43,79.7,79,4.72,100
Vokhma,RU,58.93,46.76,31.51,96,8.21,100
Aswān,EG,24.09,32.91,76.19,30,6.91,0
Imeni Poliny Osipenko,RU,52.42,136.49,36.68,61,21.12,89
Jadu,LY,31.95,12.03,56.34,75,5.12,100
Lokosovo,RU,61.13,74.82,28.36,97,24.43,100
Totness,SR,5.88,-56.32,80.58,82,11.52,91
Taft,IR,31.75,54.21,48.2,18,4.7,0
Rūdbār,AF,30.15,62.6,58.89,32,9.01,0
Zarya,RU,55.76,38.1,37.4,100,11.18,90
Aleksandrov Gay,RU,50.15,48.57,47.14,54,13.29,56
Bontang,ID,0.13,117.5,81.41,79,7.16,100
Tuxtla Gutiérrez,MX,16.75,-93.12,77.0,73,10.29,75
San Miguel de Cozumel,MX,20.51,-86.95,80.01,86,5.01,7
La Asuncion,VE,11.03,-63.86,82.4,88,10.29,4
Clyde River,CA,70.47,-68.59,35.6,87,17.22,90
Biak,ID,-0.91,122.88,80.02,78,0.89,91
Richards Bay,ZA,-28.78,32.04,69.13,87,8.14,2
Talnakh,RU,69.49,88.4,28.4,79,13.42,80
Mahébourg,MU,-20.41,57.7,71.6,83,2.24,75
Knysna,ZA,-34.04,23.05,57.2,100,11.41,90
Bilma,NE,18.69,12.92,79.14,17,5.17,0
Khovd,MN,48.01,91.64,44.71,45,1.01,31
Dongsheng,CN,39.82,109.98,50.13,36,7.61,55
Saint George,US,37.1,-113.58,69.8,14,4.7,1
Acapulco de Juárez,MX,16.86,-99.89,80.38,82,7.45,14
Vardø,NO,70.37,31.11,39.47,70,13.87,80
Ulaanbaatar,MN,47.91,106.88,39.2,48,4.47,68
Karaton,ID,-6.34,106.1,87.8,62,5.82,40
Warrington,GB,53.39,-2.58,50.0,93,5.82,98
Lancaster,US,40.25,-76.25,46.0,70,1.9,1
Beloha,MG,-25.17,45.05,68.5,73,16.69,7
Balkhash,KZ,46.84,74.98,46.4,65,8.95,87
Matagami,CA,49.75,-77.63,30.2,100,4.7,75
Cumpas,MX,29.98,-109.78,72.39,41,1.5,100
Sivas Province,TR,39.79,37.0,48.2,49,1.07,4
Karratha,AU,-20.74,116.85,83.12,37,19.1,0
Seoul,KR,37.57,126.98,66.2,45,6.93,1
Flinders,AU,-34.58,150.86,66.0,83,5.99,79
Port Keats,AU,-14.25,129.55,88.32,59,7.96,52
Port Hedland,AU,-20.32,118.57,86.0,40,17.22,0
Sinjār,IQ,36.32,41.88,63.64,39,3.85,0
Peniche,PT,39.36,-9.38,57.99,87,7.61,94
Russell,US,32.35,-85.2,59.0,72,6.78,1
Daru,PG,-9.08,143.21,82.26,73,15.21,30
Sos'va,RU,59.18,61.86,31.96,93,9.37,0
Yairipok,IN,24.67,94.07,77.0,94,4.7,75
Concordia,AR,-31.39,-58.02,73.0,78,4.0,0
Hong Kong,HK,22.29,114.16,80.01,64,4.0,31
Koshurnikovo,RU,54.17,93.3,40.84,74,3.94,100
Nador,MA,35.17,-2.93,59.0,87,4.81,20
Cherskiy,RU,68.75,161.3,23.86,94,14.43,23
Marsaxlokk,MT,35.84,14.54,64.99,67,9.17,20
Iqaluit,CA,63.75,-68.51,33.8,74,2.24,90
Lagoa,PT,39.05,-27.98,61.59,59,12.41,46
Vao,NC,-22.67,167.48,72.05,63,9.48,6
Kuminskiy,RU,58.67,66.57,30.27,96,11.23,16
Coahuayana Viejo,MX,18.73,-103.68,79.34,86,1.07,100
Iranshahr,IR,27.2,60.68,59.0,11,5.23,0
Conde,BR,-7.26,-34.91,73.4,88,5.82,20
Baghdad,IQ,33.34,44.4,64.4,52,2.24,0
Christchurch,NZ,-43.53,172.63,62.6,63,10.29,100
Egvekinot,RU,66.32,-179.17,25.9,87,7.67,0
Abalak,RU,58.13,68.59,31.19,95,14.29,80
Manokwari,ID,-0.87,134.08,83.98,72,10.07,100
Necochea,AR,-38.55,-58.74,70.0,74,14.0,0
Sinnamary,GF,5.38,-52.95,80.29,83,10.56,51
Port Blair,IN,11.67,92.75,82.22,80,15.55,100
Roebourne,AU,-20.78,117.13,86.7,29,18.14,0
Ahipara,NZ,-35.17,173.17,61.56,68,9.04,22
Ilulissat,GL,69.22,-51.1,37.4,86,6.93,100
Prince Rupert,CA,54.32,-130.32,42.8,93,5.82,90
Dukat,RU,62.55,155.55,26.56,78,10.42,64
Bend,US,44.06,-121.32,55.4,43,3.36,1
Zambezi,ZM,-13.54,23.1,67.08,39,8.12,0
Anuradhapura,LK,8.36,80.42,86.45,62,12.97,69
Bhag,PK,29.04,67.82,85.15,10,8.79,0
Rome,US,43.21,-75.46,42.01,74,5.82,1
Monticello,US,45.31,-93.79,37.4,69,9.06,1
Los Llanos de Aridane,ES,28.66,-17.92,71.6,88,10.29,100
Saint-Pierre,RE,-21.34,55.48,75.99,56,5.82,1
Bandundu Province,CD,-3.32,17.37,71.92,95,4.34,100
Meulaboh,ID,4.14,96.13,85.71,60,2.35,83
Shimanovsk,RU,52.0,127.7,34.83,65,10.22,0
Monrovia,LR,6.3,-10.8,78.01,90,8.41,100
Carnarvon,AU,-24.87,113.63,75.2,69,16.11,90
Bacsay,PH,15.65,120.33,82.4,74,4.7,75
Saint-Joseph,RE,-21.37,55.62,75.99,56,5.82,15
Caher,IE,52.38,-7.92,50.0,95,5.66,85
Tomigusuku,JP,26.18,127.67,84.2,65,21.92,20
Goderich,CA,43.75,-81.72,50.0,70,25.88,100
Norwich,GB,52.63,1.3,50.0,100,3.36,53
Methóni,GR,36.82,21.7,63.0,76,6.93,27
Novhorodka,UA,48.37,32.66,44.6,93,4.47,4
Samarai,PG,-10.62,150.67,81.14,81,12.12,24
Hasaki,JP,35.73,140.83,66.2,63,9.17,75
Vysokogornyy,RU,50.12,139.15,35.33,84,19.69,98
Puerto Escondido,MX,15.85,-97.07,80.1,80,5.01,82
Pisco,PE,-13.7,-76.22,63.0,87,12.75,40
Popondetta,PG,-8.75,148.25,88.63,59,5.73,68
Waiouru,NZ,-39.48,175.67,55.92,65,5.06,78
Balasheyka,RU,53.28,48.09,40.28,65,15.95,98
Bubaque,GW,11.28,-15.83,81.73,86,11.56,13
Shirokiy,RU,49.76,129.52,37.17,62,13.27,0
Sobolevo,RU,54.43,31.9,39.34,94,8.5,100
San Jose,US,37.34,-121.89,75.99,36,5.82,20
Azul,AR,-36.78,-59.86,66.99,82,3.0,0
Bendigo,AU,-36.77,144.28,59.0,52,8.68,0
Nicoya,CR,10.15,-85.45,80.6,74,11.41,92
Koksijde,BE,51.11,2.69,50.0,93,4.7,95
Bam,IR,29.11,58.36,68.05,17,10.89,0
Gizo Government Station,SB,-8.1,156.84,79.2,81,4.41,100
Batagay,RU,67.63,134.63,19.2,95,4.07,100
Ambon City,ID,-3.7,128.18,86.0,70,6.93,75
Tokur,RU,53.13,132.9,20.05,94,16.35,100
Broome,US,42.25,-75.83,42.8,52,3.36,1
Lázaro Cárdenas,MX,17.96,-102.2,79.79,84,3.31,98
Tautira,PF,-17.73,-149.15,80.6,78,16.11,40
Mandalī,IQ,33.75,45.55,70.3,21,2.66,0
Erzin,TR,36.96,36.2,71.01,87,1.01,4
Havre-St-Pierre,CA,50.23,-63.6,48.2,100,13.87,90
Kortkeros,RU,61.81,51.58,32.0,97,8.95,75
Helena,US,46.59,-112.04,25.0,73,11.41,90
Mago,RU,53.25,140.18,39.24,74,6.76,100
Avera,US,33.19,-82.53,54.0,87,5.82,40
Porto Velho,BR,-8.76,-63.9,77.0,94,2.08,40
Beaufort,MY,5.35,115.75,87.8,74,5.82,20
Emirdağ,TR,39.02,31.15,62.02,47,8.19,99
Torbay,CA,47.67,-52.73,48.0,100,13.87,90
Assiut,EG,27.18,31.18,66.2,68,11.41,0
Skibbereen,IE,51.55,-9.27,51.8,81,10.29,75
Kidal,ML,18.44,1.41,83.14,16,11.18,0
San Pedro de Macorís,DO,18.46,-69.3,78.01,94,7.85,40
Wahpeton,US,46.27,-96.61,28.99,74,11.41,1
Eatonton,US,33.33,-83.39,59.0,67,5.82,1
Buseresere,TZ,-3.02,31.87,68.74,62,3.91,59
Igrim,RU,63.19,64.42,31.26,87,12.59,47
Vila Velha,BR,-20.33,-40.29,68.0,94,4.7,75
Nhulunbuy,AU,-12.23,136.77,87.8,55,12.75,40
São Félix do Xingu,BR,-6.64,-51.99,73.11,79,1.68,61
Xiongzhou,CN,25.12,114.3,67.33,69,5.99,87
Porto Franco,BR,-6.34,-47.4,77.56,65,2.13,96
Guilin,CN,25.28,110.29,69.8,60,11.18,20
Vadlapūdi,IN,14.32,79.8,88.18,56,10.67,78
Pacific Grove,US,36.62,-121.92,64.99,72,3.36,1
Shelomi,IL,33.07,35.15,71.35,65,7.23,0
Ucluelet,CA,48.93,-125.55,48.99,86,6.58,98
Frutigen,CH,46.59,7.65,45.0,90,1.01,85
Peace River,CA,56.25,-117.29,17.6,61,10.29,20
Santiago de Cuba,CU,20.02,-75.82,78.8,88,4.7,40
Cap Malheureux,MU,-19.98,57.61,77.0,64,5.01,24
Kurchum,KZ,48.57,83.65,52.9,39,11.21,83
Severo-Kuril'sk,RU,50.68,156.12,48.99,62,12.84,25
Torres,BR,-29.34,-49.73,62.51,90,9.95,87
Lircay,PE,-12.99,-74.72,49.35,72,3.44,71
Halayhay,PH,14.37,120.81,81.0,88,2.24,75
Ruidoso,US,33.33,-105.67,62.6,21,8.05,1
Nago,JP,26.59,127.98,84.2,62,17.22,1
Monkey Hill,KN,17.32,-62.72,80.01,85,4.0,37
Aklavik,CA,68.22,-135.01,14.0,72,5.82,20
Khandyga,RU,62.67,135.6,20.43,92,4.23,100
Curuguaty,PY,-24.47,-55.69,69.69,73,3.62,49
Kavaratti,IN,10.57,72.64,81.61,76,9.51,36
Nantucket,US,41.28,-70.1,55.0,50,4.7,1
San Miguel de Tucumán,AR,-26.82,-65.22,84.2,48,8.05,0
Maralal,KE,1.1,36.7,59.34,89,3.56,20
Sechura,PE,-5.56,-80.82,65.64,77,8.72,91
Padang,ID,-0.95,100.35,85.87,59,4.14,90
Moyale,KE,3.52,39.06,65.97,90,10.83,100
Port Augusta,AU,-32.5,137.77,66.99,48,14.99,0
Saint-Ambroise,CA,48.55,-71.33,33.8,86,3.15,5
Billings Metropolitan Area,US,45.78,-108.5,26.01,85,9.17,90
Governador Dix-Sept Rosado,BR,-5.46,-37.52,72.45,76,5.21,0
Rogers,US,36.37,-95.58,61.0,51,6.93,1
Black River,JM,18.03,-77.85,82.4,83,1.12,20
Yamethin,MM,20.43,96.15,83.19,66,3.38,95
Hay River,CA,60.82,-115.8,26.6,73,14.99,90
Chabahar,IR,25.29,60.64,62.6,36,6.93,20
Adré,TD,13.47,22.2,73.72,23,9.08,11
Poum,NC,-20.23,164.02,73.78,74,7.38,22
Port-Gentil,GA,-0.72,8.78,77.56,86,9.04,100
Burnie,AU,-41.07,145.92,61.0,41,14.0,37
Nelson Bay,AU,-32.72,152.15,73.4,60,12.75,75
Mosetse,BW,-20.75,26.65,68.52,43,7.49,0
Porto Santo,PT,33.07,-16.34,69.8,68,18.34,40
Noyabrsk,RU,63.2,75.45,26.49,96,27.6,100
Ulladulla,AU,-35.35,150.47,69.01,93,12.75,90
Porto-Novo,BJ,6.5,2.6,75.2,100,2.24,20
Kholuy,RU,56.58,41.87,35.58,94,13.47,100
Chulym,RU,55.1,80.96,35.46,79,18.07,49
Plettenberg Bay,ZA,-34.05,23.37,58.03,87,7.7,23
Ust-Tsilma,RU,65.44,52.15,30.49,96,4.27,94
Saint-François,FR,46.42,3.91,44.6,93,3.36,20
Casablanca,MA,33.59,-7.62,59.0,93,9.17,3
Boulsa,BF,12.67,-0.58,81.05,55,7.76,7
Nurota,UZ,40.56,65.69,46.4,25,9.17,0
Arāria,IN,26.15,87.52,85.69,59,4.81,0
San Borja,BO,-14.82,-66.85,76.03,65,2.28,9
Yangi Marg`ilon,UZ,40.43,71.72,57.2,47,4.7,0
Mapiri,BO,-15.25,-68.17,66.4,79,0.96,38
Melur,IN,10.05,78.33,82.4,78,5.82,100
Jerantut,MY,3.94,102.36,92.28,52,0.65,100
Te Anau,NZ,-45.42,167.72,57.04,63,4.05,92
Bystryy Istok,RU,52.37,84.39,56.34,39,14.76,100
Newport,GB,51.59,-3.0,44.01,86,2.26,98
Uva,RU,56.99,52.19,35.01,80,5.1,31
Mackay,AU,-21.15,149.2,82.0,47,12.75,0
Kiryat Gat,IL,31.61,34.76,69.01,83,3.83,0
Gaoua,BF,10.3,-3.25,75.83,79,4.43,59
Manado,ID,1.49,124.85,86.0,70,9.17,40
Dunkirk,FR,51.05,2.37,51.01,93,4.7,80
Shushenskoye,RU,53.33,91.94,50.0,53,8.95,100
Natchitoches,US,31.77,-93.13,62.6,82,5.82,1
Oyama,JP,36.3,139.8,69.01,59,8.05,75
Bodden Town,KY,19.28,-81.25,86.0,79,13.87,20
Narón,ES,43.52,-8.15,57.0,100,6.93,97
Yuli,NG,9.7,10.27,72.39,88,2.75,1
Verkh-Usugli,RU,52.7,115.17,38.26,71,7.7,77
Ambulu,ID,-8.35,113.61,86.04,58,7.29,55
Mahabalipuram,IN,12.63,80.17,78.8,88,4.7,90
Zhigansk,RU,66.77,123.37,13.84,94,6.76,100
Mendi,PG,-6.18,143.65,63.95,94,2.21,99
Sur,OM,22.57,59.53,84.78,37,21.52,0
Kozhva,RU,65.11,57.05,28.72,97,7.83,17
Aberdeen,GB,57.14,-2.1,42.8,87,5.82,90
Laguna,US,38.42,-121.42,75.0,43,3.53,1
Maniitsoq,GL,65.42,-52.9,39.83,91,9.4,97
Madison Heights,US,42.49,-83.11,55.0,54,12.75,40
Pulandian,CN,39.4,121.97,68.0,56,8.95,0
Mossamedes,AO,-15.2,12.15,68.79,72,5.66,45
Albury,AU,-36.08,146.92,66.99,59,6.93,90
